Ticket ID,Student Telegram ID,Department,Status,Rejection Reason,Processed By,Created At,Updated At
43,1547440361,"Agribusiness and Value chain management",APPROVED,,"Abel",2026-09-04 14:32:27,2026-09-04 14:34:38
46,1384187370,"Agribusiness and Value chain management",APPROVED,,"Abel",2026-09-04 14:34:18,2026-09-04 14:34:33
